Branch,Party_Group,Group_Description,Party_no,Party_name,Party_BLOC,Business_Locationname,PRT_SBLOC,LocationIdentifier_Name,Customer_State,Customer_City,LocationIdentifier_State,LocationIdentifier_City,Customer_Type,Cong_Typ,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Total_Revenue
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03835,TATA CAPITAL LIMITED_ASSAM                                                                          ,Y06017,TATA CAPITAL LIMITED                                                                                ,Z00022,Guwahati                                                                                            ,ASSAM                                   ,Dibrugarh           ,Assam                                                                                                                                                 ,Guwahati                                          ,Direct Customer                                                       ,                                                                      ,0,0,0,8025,0,8125,0,0,0,16150
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03836,TATA CAPITAL LIMITED_BIHAR                                                                          ,Y06017,TATA CAPITAL LIMITED                                                                                ,Z00047,Hariom Tower                                                                                        ,BIHAR                                   ,Muzaffarpur         ,Bihar                                                                                                                                                 ,PATNA                                             ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,0,0,0,0,0,7800,0,6900,14700
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03836,TATA CAPITAL LIMITED_BIHAR                                                                          ,Y06017,TATA CAPITAL LIMITED                                                                                ,Z00046,Mazaffarpur                                                                                         ,BIHAR                                   ,Muzaffarpur         ,Bihar                                                                                                                                                 ,Muzaffarpur                                       ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,2295,2120,1895,4775,1705,0,7800,0,0,20590
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03847,TATA CAPITAL LIMITED_WEST BENGAL                                                                    ,Y06017,TATA CAPITAL LIMITED                                                                                ,Z00053,Park Plaza                                                                                          ,WEST BENGAL                             ,Kharagpur           ,West Bengal                                                                                                                                           ,KOLKATA                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,0,0,0,0,0,7800,0,0,7800
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03847,TATA CAPITAL LIMITED_WEST BENGAL                                                                    ,Y06017,TATA CAPITAL LIMITED                                                                                ,Z00018,Durgapur                                                                                            ,WEST BENGAL                             ,Kharagpur           ,West Bengal                                                                                                                                           ,Durgapur                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,2260,0,0,3860,0,3860,0,4585,14565
WB,DG2412,TATA CAPITAL LIMITED                                                                                ,D03847,TATA CAPITAL LIMITED_WEST BENGAL                                                                    ,Y06017,TATA CAPITAL LIMITED                                                                                ,Z00052,PS Srijan Tech Park                                                                                 ,WEST BENGAL                             ,Kharagpur           ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,48000,2000,12000,23650,34350,0,16800,17600,29000,183400
WB,DG2430,TECHNO INDIA                                                                                        ,D03879,TECHNO INDIA UNIVERSITY_WEST BENGAL                                                                 ,Y06073,TECHNO INDIA UNIVERSITY_WEST BENGAL_WEST BENGAL                                                     ,Z00002,"EM 4, SALTLAKE                                                                                      ",WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,13630,11290,0,14900,0,0,10066,0,0,49886
WB,DG2430,TECHNO INDIA                                                                                        ,D03879,TECHNO INDIA UNIVERSITY_WEST BENGAL                                                                 ,Y06073,TECHNO INDIA UNIVERSITY_WEST BENGAL_WEST BENGAL                                                     ,Z00004,SALT LAKE CITY 5 floor                                                                              ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,14900,5760,17079,0,0,3640,12420,4530,13970,72299
WB,DG2430,TECHNO INDIA                                                                                        ,D03880,TECHNO INDIA_BIHAR                                                                                  ,Y06072,TECHNO INDIA_BIHAR                                                                                  ,Z00003,VERMA CENTRE                                                                                        ,BIHAR                                   ,Phulwari            ,Bihar                                                                                                                                                 ,Phulwari                                          ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,0,0,0,1348,0,0,0,0,0,1348
WB,DG2430,TECHNO INDIA                                                                                        ,D03881,TECHNO INDIA_JHARKHAND                                                                              ,Y06072,TECHNO INDIA                                                                                        ,Z00001,ARJAN PLACE                                                                                         ,JHARKHAND                               ,Ranchi              ,Jharkhand                                                                                                                                             ,Ranchi                                            ,Direct Customer                                                       ,                                                                      ,0,0,0,2134,0,0,0,0,0,2134
WB,DG2435,TEGA INDUSTRIES LIMITED                                                                             ,D03889,TEGA INDUSTRIES LIMITED_WEST BENGAL                                                                 ,Y06092,TEGA INDUSTRIES LIMITED_WEST BENGAL                                                                 ,Z00001,Bidhannagar                                                                                         ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-LOCAL                                                       ,2686,20426.2,6074.2,16832.6,16241.6,18149.6,2000,25301.8,19709.4,127421.4
WB,      ,                                                                                                    ,D04729,TEGA MCNALLY MINERALS LIMITED_WEST BENGAL                                                           ,Y07379,TEGA MCNALLY MINERALS LIMITED                                                                       ,Z00001,TEGA MCNALLY MINERALS LIMITED                                                                       ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,KOLKATA                                           ,Direct Customer                                                       ,                                                                      ,0,0,0,0,0,0,0,0,14978,14978
WB,DG2482,THE NORTH EAST REGION VENDING SOLUTION (NERVS)                                                      ,D03951,THE NORTH EAST REGION VENDING SOLUTION (NERVS)_ASSAM                                                ,Y06198,THE NORTH EAST REGION VENDING SOLUTION  NERVS                                                       ,Z00002,WARD NO.13-19954 (THE NORTH EAST)                                                                   ,ASSAM                                   ,GUWAHATI            ,Assam                                                                                                                                                 ,Gmc                                               ,Distributor                                                           ,                                                                      ,0,27600,27600,55200,0,0,0,0,0,110400
WB,DG2494,THOMAS COOK INDIA LIMITED                                                                           ,D03993,THOMAS COOK INDIA LIMITED_WEST BENGAL                                                               ,Y06235,THOMAS COOK INDIA LIMITED_WEST BENGAL                                                               ,Z00014,SDF Building-2nd floor                                                                              ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,1185,10081,12305,14789,18840,700,700,16360,700,75660
WB,DG2494,THOMAS COOK INDIA LIMITED                                                                           ,D03993,THOMAS COOK INDIA LIMITED_WEST BENGAL                                                               ,Y06235,THOMAS COOK INDIA LIMITED_WEST BENGAL                                                               ,Z00010,LAKE GARDENS                                                                                        ,WEST BENGAL                             ,Kolkata             ,West Bengal                                                                                                                                           ,Kolkata                                           ,Direct Customer                                                       ,CORPORATE-PAN INDIA                                                   ,7928,14046,700,700,14225,700,17025,700,700,56724
