Branch,Doc_no,PARTY_GRP,GRP_DESC,PARTY_NAME,Customer_Type,ConsigneeName,LocationID_Code,LocationIdentifier,IM_CODE,IM_DESCR,DispatchDate,DispatchMonth,Installation_Month,July-25 (Demo),July-25 (Installation),August-25 (Demo),August-25 (Installation),September-25 (Demo),September-25 (Installation),October-25 (Demo),October-25 (Installation),November-25 (Demo),November-25 (Installation),December-25 (Demo),December-25 (Installation),January-26 (Demo),January-26 (Installation),June-26 (Installation),December-26 (Installation),Install_Date_NOT_Entered (Demo),Install_Date_NOT_Entered (Installation),Grand Total
MH,FAOTMH252600550,DG0072,Demo                                                                                                ,SANDEEP KUMAR-DEMO_MAHARASHTRA                                                                      ,Demo                                                                  ,SANDEEP KUMAR-DEMO_MAHARASHTRA                                                                      ,Z00014,Kent Engineering India Pvt. Ltd                                                                     ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,27-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600551,DG2242,ADITYA BIRLA AHURA CENTER                                                                           ,SODEXO INDIA SERVICES PRIVATE LIMITED_MAHARASHTRA                                                   ,Facility                                                              ,C/O BAYER CROP SCIENCES- FM THANE_MAHARASHTRA                                                       ,Z00001,C/O BAYER CROP SCIENCES- FM THANE                                                                   ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,27-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600552,DG2242,ADITYA BIRLA AHURA CENTER                                                                           ,SODEXO INDIA SERVICES PRIVATE LIMITED_MAHARASHTRA                                                   ,Facility                                                              ,C/O BAYER CROP SCIENCES- FM THANE_MAHARASHTRA                                                       ,Z00001,C/O BAYER CROP SCIENCES- FM THANE                                                                   ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,27-10-2025,Oct-25,Nov-25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600553,DG0072,Demo                                                                                                ,NIKHIL GUJRATHY-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Nikhil Gujrahty Demo                                                                                ,Z00013,HORECA  BUSINESS                                                                                    ,GBMBC-0010                    ,GBMBC-0010_TruBeans (32A)                                                                                                                                                                                                                                 ,28-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600553,DG0072,Demo                                                                                                ,NIKHIL GUJRATHY-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Nikhil Gujrahty Demo                                                                                ,Z00013,HORECA  BUSINESS                                                                                    ,GBMBM-0013                    ,GBMBM-0013_TRADITIONAL COFFEE MAKER                                                                                                                                                                                                                       ,28-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
MH,FAOTMH252600553,DG0072,Demo                                                                                                ,NIKHIL GUJRATHY-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Nikhil Gujrahty Demo                                                                                ,Z00013,HORECA  BUSINESS                                                                                    ,GBMFM-0007                    ,GBMFM-0007_CAPSULE  COFFEE MAKER VITO                                                                                                                                                                                                                     ,28-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600553,DG0072,Demo                                                                                                ,NIKHIL GUJRATHY-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Nikhil Gujrahty Demo                                                                                ,Z00013,HORECA  BUSINESS                                                                                    ,GBMFM-0028                    ,GBMFM-0028_TREWBREW AUTOMATIC                                                                                                                                                                                                                             ,28-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600553,DG0072,Demo                                                                                                ,NIKHIL GUJRATHY-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Nikhil Gujrahty Demo                                                                                ,Z00013,HORECA  BUSINESS                                                                                    ,GBMHC-0001                    ,GBMHC-0001_HOT & COLD 4 CAN                                                                                                                                                                                                                               ,28-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600553,DG0072,Demo                                                                                                ,NIKHIL GUJRATHY-DEMO_MAHARASHTRA                                                                    ,Demo                                                                  ,Nikhil Gujrahty Demo                                                                                ,Z00013,HORECA  BUSINESS                                                                                    ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,28-10-2025,Oct-25,Oct-25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MH,FAOTMH252600554,DG1134,KAMAT HOTELS INDIA LIMITED                                                                          ,KAMAT HOTELS INDIA LIMITED_MAHARASHTRA                                                              ,Direct Customer                                                       ,KAMAT HOTELS INDIA LIMITED_MAHARASHTRA                                                              ,Z00003,THE ORCHID HOTEL                                                                                    ,GBMMM-0003                    ,GBMMM-0003_PMB - PASTEURIZER 12LTR                                                                                                                                                                                                                        ,28-10-2025,Oct-25,Install_Date_NOT_Entered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
